expediente_mayo,expediente_septiembre,estado_procesal_mayo,estado_procesal_septiembre,cambio_status
PFC.AGS.B.3/000014-2023,PFC.AGS.B.3/000014-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.AGS.B.3/000021-2023,PFC.AGS.B.3/000021-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000024-2023,PFC.AGS.B.3/000024-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000043-2023,PFC.AGS.B.3/000043-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000070-2023,PFC.AGS.B.3/000070-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000096-2023,PFC.AGS.B.3/000096-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000117-2023,PFC.AGS.B.3/000117-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.AGS.B.3/000124-2023,PFC.AGS.B.3/000124-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000129-2023,PFC.AGS.B.3/000129-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000143-2023,PFC.AGS.B.3/000143-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000160-2023,PFC.AGS.B.3/000160-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000180-2023,PFC.AGS.B.3/000180-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000251-2023,PFC.AGS.B.3/000251-2023,Desistimiento,Desistimiento,"Sin cambio"
PFC.AGS.B.3/000265-2023,PFC.AGS.B.3/000265-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000266-2023,PFC.AGS.B.3/000266-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000277-2023,PFC.AGS.B.3/000277-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000282-2023,PFC.AGS.B.3/000282-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000284-2023,PFC.AGS.B.3/000284-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000287-2023,PFC.AGS.B.3/000287-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000288-2023,PFC.AGS.B.3/000288-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000289-2023,PFC.AGS.B.3/000289-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000312-2023,PFC.AGS.B.3/000312-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000327-2023,PFC.AGS.B.3/000327-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000340-2023,PFC.AGS.B.3/000340-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000360-2023,PFC.AGS.B.3/000360-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000383-2023,PFC.AGS.B.3/000383-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000401-2023,PFC.AGS.B.3/000401-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000408-2023,PFC.AGS.B.3/000408-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000430-2023,PFC.AGS.B.3/000430-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000434-2023,PFC.AGS.B.3/000434-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000439-2023,PFC.AGS.B.3/000439-2023,"En Trámite",Desistimiento,Cambio
PFC.AGS.B.3/000451-2023,PFC.AGS.B.3/000451-2023,"En Trámite",Conciliada,Cambio
PFC.AGS.B.3/000455-2023,PFC.AGS.B.3/000455-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000469-2023,PFC.AGS.B.3/000469-2023,"En Trámite","En Trámite","Sin cambio"
PFC.AGS.B.3/000478-2023,PFC.AGS.B.3/000478-2023,Conciliada,Conciliada,"Sin cambio"
PFC.AGS.B.3/000513-2023,PFC.AGS.B.3/000513-2023,Conciliada,Conciliada,"Sin cambio"
